,analysis_group,analysis_subgroup,name_original_rSFSW2,timeaggs,name_manuscript,units_manuscript,label_manuscript,id_netCDF,standard_name_netCDF,long_name_netCDF,comment_netCDF,units_netCDF,conversion_factor_netCDF,dim_str,z_level,function_of_soilsubproject,folder,subfolder,filename_template_netCDF,Number_netCDFs
1,GISSM,pSeedling,ArtemisiaTridentataNotSpecifiedSubspecies_Seedlings1stSeason_SuitableYears_fraction_mean,mean,p(GISSM),,p(GISSM),pGISSM,,Probability of big sagebrush recruitment based on GISSM,Probability of big sagebrush recruitment based on GISSM (Schlaepfer et al. 2014),1,1,xyt,,1,2_Simulation_Output,Probability_of_big_sagebrush_recruitment_based_on_GISSM,pGISSM_SOILWAT2_BSR_SoilSSS_CCC_gn_TTT-clim.nc,365
2,Shriver2018,Shriver2018,ArtemisiaTridentata_Establishment_Shriver2018_probability_mean,mean,p(Shriver2018),,p(Shriver2018),pShriver2018,,Probability of big sagebrush recruitment following fire and restoration seeding,Probability of big sagebrush recruitment following fire and restoration seeding (Shriver et al. 2018),1,1,xyt,,1,2_Simulation_Output,Probability_of_big_sagebrush_recruitment_following_fire_and_restoration_seeding,pShriver2018_SOILWAT2_BSR_SoilSSS_CCC_gn_TTT-clim.nc,365
3,description,GridSpec,,fx,,,,gridspec,,Grid Specification,Value represents SiteID of dryland study simulation,1,1,xy,,0,1_Simulation_Setup,,gridspec_fx_SOILWAT2_BSR_gn.nc,1
4,description,cells,,fx,,,,areacella,cell_area,Grid-Cell Area for Grid Variables,,m2,1,xy,,0,1_Simulation_Setup,,areacella_fx_SOILWAT2_BSR_gn.nc,1
5,description,id_mask_GISSM,,fx,,,,maskGISSM,,Represents 0/1-mask of cells over which GISSM is applied,GISSM is applied over the generalized big sagebrush region,1,1,xy,,0,1_Simulation_Setup,,sftlf_fx_SOILWAT2_BSR_gn.nc,1
6,description,id_mask_Shriver2018,,fx,,,,maskShriver2018,,Represents 0/1-mask of cells over which the Shriver et al. 2018 model is applied,Shriver et al. 2018 model is applied over the Great Basin and Snake River Plain,1,1,xy,,0,1_Simulation_Setup,,sftlf_fx_SOILWAT2_BSR_gn.nc,
7,description,id_ecoregs,,fx,,,,ecoregionsL3,,EPA Ecoregions Level III Identification,,1,1,xy,,0,1_Simulation_Setup,,EPAecoregionsL3_fx_SOILWAT2_BSR_gn.nc,1
8,predictor,site,ELEV_m,fx,Elevation,m,Elevation (m),orog,surface_altitude,surface_altitude,,m,1,xy,,0,1_Simulation_Setup,,orog_fx_SOILWAT2_BSR_gn.nc,1
9,predictor,site,X_WGS84,fx,Longitude,degE,Longitude (degE),,,,,,,,,,,,,0
10,predictor,site,Y_WGS84,fx,Latitude,degN,Latitude (degN),,,,,,,,,,,,,0
11,predictor,soils,SWinput_Soil_topLayers_Sand_fraction,fx,Shallow sand content,%,Shallow sand content (%),sandfrac,mass_fraction_of_sand_in_soil,Sand Fraction,Mass fraction of sand (mineral particles 0.05 mm to 2.0 mm in equivalent diameter) in the less than 2 mm soil fraction,1,1,xyz,1,1,1_Simulation_Setup,,sandfrac_fx_SOILWAT2_BSR_SoilSSS_gn.nc,5
12,predictor,soils,SWinput_Soil_bottomLayers_Sand_fraction,fx,Deep sand content,%,Deep sand content (%),sandfrac,mass_fraction_of_sand_in_soil,Sand Fraction,Mass fraction of sand (mineral particles 0.05 mm to 2.0 mm in equivalent diameter) in the less than 2 mm soil fraction,1,1,xyz,2,1,1_Simulation_Setup,,sandfrac_fx_SOILWAT2_BSR_SoilSSS_gn.nc,
13,predictor,soils,SWinput_Soil_topLayers_Clay_fraction,fx,Shallow clay content,%,Shallow clay content (%),clayfrac,mass_fraction_of_clay_in_soil,Clay Fraction,Mass fraction of clay (mineral particles less than 0.002 mm in equivalent diameter) in the less than 2 mm soil fraction,1,1,xyz,1,1,1_Simulation_Setup,,clayfrac_fx_SOILWAT2_BSR_SoilSSS_gn.nc,5
14,predictor,soils,SWinput_Soil_bottomLayers_Clay_fraction,fx,Deep clay content,%,Deep clay content (%),clayfrac,mass_fraction_of_clay_in_soil,Clay Fraction,Mass fraction of clay (mineral particles less than 0.002 mm in equivalent diameter) in the less than 2 mm soil fraction,1,1,xyz,2,1,1_Simulation_Setup,,clayfrac_fx_SOILWAT2_BSR_SoilSSS_gn.nc,
15,predictor,soils,SWinput_Soil_maxDepth_cm,fx,Soil depth,cm,Soil depth (cm),slthick,cell_thickness,Thickness of Soil Layers,Soil depth,m,0.01,xy,,1,1_Simulation_Setup,,slthick_fx_SOILWAT2_BSR_SoilSSS_gn.nc,5
16,predictor,Schlaepfer2014_ECOMOD,MAT_C_mean,mean,MAT,C,MAT (C),ta,air_temperature,Air temperature,Annual mean air temperature,C,1,xyt,,0,2_Simulation_Output,Air_temperature,ta_SOILWAT2_BSR_CCC_gn_TTT-clim.nc,73
17,predictor,Schlaepfer2014_ECOMOD,MAP_mm_mean,mean,MAP,mm,MAP (mm),pr,precipitation_amount,Precipitation amount,Annual sum of precipitation amount,mm,1,xyt,,0,2_Simulation_Output,Precipitation_amount,pr_SOILWAT2_BSR_CCC_gn_TTT-clim.nc,73
18,predictor,Schlaepfer2014_ECOMOD,SnowOfPPT_fraction_mean,mean,Snow/PPT,,Snow/PPT,snowfrac,,Mass fraction of snow in precipitation,Annual proportion of precipitation falling as snow,1,1,xyt,,0,2_Simulation_Output,Mass_fraction_of_snow_in_precipitation,snowfrac_SOILWAT2_BSR_CCC_gn_TTT-clim.nc,73
19,predictor,Schlaepfer2014_ECOMOD,Seasonality_monthlyTandPPT_PearsonCor_mean,mean,Seasonality,"cor{T, PPT}","Seasonality (cor{T, PPT})",seasonality,,Precipitation seasonality,Correlation between monthly air temperature and precipitation amount,1,1,xyt,,0,2_Simulation_Output,Precipitation_seasonality,seasonality_SOILWAT2_BSR_CCC_gn_TTT-clim.nc,73
20,predictor,Schlaepfer2014_ECOMOD,TeeriEtAl1976_NSadj_FreezeFreeGrowingPeriod_days_mean,mean,Growing period,days,Growing period (days),growthperiod,,Freeze free growing period,Number of days with freeze free growing conditions based on Teeri et al. 1976,day,1,xyt,,0,2_Simulation_Output,Freeze_free_growing_period,growthperiod_SOILWAT2_BSR_CCC_gn_TTT-clim.nc,73
21,predictor,Schlaepfer2014_ECOMOD,DegreeDays_Base0C_dailyTmean_Cdays_mean,mean,Growing degree-days,C x days,Growing degree-days (C x days),degreeday,,Degree day,Number of days with mean daily air temperature above 0 C,day,1,xyt,,0,2_Simulation_Output,Degree_day,degreeday_SOILWAT2_BSR_CCC_gn_TTT-clim.nc,73
22,predictor,Schlaepfer2014_ECOMOD,UNAridityIndex_Normals_none_mean,mean,Aridity index,,Aridity index,ai,,Aridity index,Annual ratio of precipitation amount to potential evapotranspiration,1,1,xyt,,0,2_Simulation_Output,Aridity_index,ai_SOILWAT2_BSR_CCC_gn_TTT-clim.nc,73
23,predictor,Shriver2018_GCB,MAT_C_doyRange1to250_mean,mean,Mean Temp,doy 1-250; C,Mean Temp (doy 1-250; C),ta250,,Air temperature on first 250 days of year,Mean air temperature on first 250 days of year,C,1,xyt,,0,2_Simulation_Output,Air_temperature_on_first_250_days_of_year,ta250_SOILWAT2_BSR_CCC_gn_TTT-clim.nc,73
24,predictor,Shriver2018_GCB,MAP_mm_doyRange1to250_mean,mean,Mean Precip,doy 1-250; mm,Mean Precip (doy 1-250; mm),pr250,,Precipitation amount in first 250 days of year,Sum of precipitation amount in first 250 days of year,mm,1,xyt,,0,2_Simulation_Output,Precipitation_amount_in_first_250_days_of_year,pr250_SOILWAT2_BSR_CCC_gn_TTT-clim.nc,73
25,predictor,Shriver2018_GCB,SnowOfPPT_fraction_doyRange1to250_mean,mean,Snow/PPT,doy 1-250,Snow/PPT (doy 1-250),snowfrac250,,Mass fraction of snow in precipitation in first 250 days of year,Proportion of precipitation falling as snow in first 250 days of year,1,1,xyt,,0,2_Simulation_Output,Mass_fraction_of_snow_in_precipitation_in_first_250_days_of_year,snowfrac250_SOILWAT2_BSR_CCC_gn_TTT-clim.nc,73
26,predictor,Shriver2018_GCB,Snowcover_NSadj_Peak_mmSWE_mean,mean,Peak snowpack,mm SWE,Peak snowpack (mm SWE),snowpack,,Peak snowpack,Peak annual snowpack in snow water equivalents,mm,1,xyt,,1,2_Simulation_Output,Peak_snowpack,snowpack_SOILWAT2_BSR_SoilSSS_CCC_gn_TTT-clim.nc,365
27,predictor,Shriver2018_GCB,periodicVWCmatricMean_FirstLayer_doyRange71to100_mean,mean,Shallow spring VWC,doy 71-100; m3/m3,Shallow spring VWC (doy 71-100; m3/m3),vwcspring,,Shallow spring fraction of soil moisture,Volumetric water content (volume fraction of soil moisture to soil layer) in days of year 71-100 at 0-5 cm soil depth,1,1,xyt,,1,2_Simulation_Output,Shallow_spring_fraction_of_soil_moisture,vwcspring_SOILWAT2_BSR_SoilSSS_CCC_gn_TTT-clim.nc,365
28,predictor,Shriver2018_GCB,TminBelow0CwithoutSpringSnow_days_mean,mean,Spring frost exposure,days,Spring frost exposure (days),frostspring,,Spring frost exposure,Number of days during spring time with minimum daily air temperature below 0 C and without snow cover,day,1,xyt,,1,2_Simulation_Output,Spring_frost_exposure,frostspring_SOILWAT2_BSR_SoilSSS_CCC_gn_TTT-clim.nc,365
29,predictor,Schlaepfer2015_Ecosphere,TminBelowNeg9CwithoutSnow_days_mean,mean,Hard frost exposure,days,Hard frost exposure (days),frosthard,,Hard frost exposure,Number of days with minimum daily air temperature below -9 C and without snow cover,day,1,xyt,,1,2_Simulation_Output,Hard_frost_exposure,frosthard_SOILWAT2_BSR_SoilSSS_CCC_gn_TTT-clim.nc,365
30,predictor,Schlaepfer2015_Ecosphere,TmaxAbovePos34C_days_mean,mean,Heat exposure,days,Heat exposure (days),heat,,Heat exposure,Number of days with maximum daily air temperature above 34 C,day,1,xyt,,0,2_Simulation_Output,Heat_exposure,heat_SOILWAT2_BSR_CCC_gn_TTT-clim.nc,73
31,predictor,Schlaepfer2015_Ecosphere,RelRecharge_topLayers_DailyMax_Fraction_mean,mean,Shallow recharge,%,Shallow recharge (%),recharge,,Soil moisture recharge,Annual maximum ratio of soil moisture to soil moisture at field capacity,1,1,xyzt,1,1,2_Simulation_Output,Soil_moisture_recharge,recharge_SOILWAT2_BSR_SoilSSS_CCC_gn_TTT-clim.nc,365
